simplified	MY	example_MY	KM	example_KM	LO	example_LO
许多	များစွာသော; အများကြီး	လမ်းပေါ်မှာ အမှိုက်ပုံးများစွာ ရှိသည်။	ជាច្រើន	នៅលើផ្លូវមានធុងសំរាមជាច្រើន។	ຫຼາຍ; ຫຼາຍຢ່າງ	ຢູ່ຕາມຖະໜົນມີຖັງຂີ້ເຫຍື້ອຫຼາຍ.
学期	စာသင်နှစ်ပိုင်း; စာသင်ကာလ	ဒီစာသင်ကာလမှာ ကျွန်တော် အနုပညာ၊ သမိုင်းနဲ့ စီးပွားရေးအပါအဝင် သင်ခန်းစာများစွာ ရွေးခဲ့သည်။	ឆមាស; រយៈពេលសិក្សា	ឆមាសនេះខ្ញុំបានជ្រើសរើសមុខវិជ្ជាច្រើន រួមទាំងសិល្បៈ ប្រវត្តិសាស្ត្រ និងសេដ្ឋកិច្ច។	ພາກຮຽນ	ພາກຮຽນນີ້ຂ້ອຍເລືອກຮຽນຫຼາຍວິຊາ ລວມທັງສິລະປະ ປະຫວັດສາດ ແລະເສດຖະກິດ.
呀	အံ့အားသင့်မှုကို ဖော်ပြသော စကားလုံး	အို၊ နှင်းကျနေပြီ။	ពាក្យបង្ហាញការភ្ញាក់ផ្អើល	អូហ៍ ព្រិលធ្លាក់ហើយ!	ຄຳອຸທານສະແດງຄວາມແປກໃຈ	ໂອ້ ຫິມະຕົກແລ້ວ!
压力	ဖိအား	သူက မကြာသေးခင်က အလုပ်ဖိအား အလွန်ကြီးသည်။	សម្ពាធ	ថ្មីៗនេះគាត់មានសម្ពាធការងារខ្លាំង។	ຄວາມກົດດັນ	ໄລຍະນີ້ລາວມີຄວາມກົດດັນຈາກວຽກຫຼາຍ.
牙膏	သွားတိုက်ဆေး	သွားတိုက်ဆေး ကုန်သွားပြီ၊ မနက်ဖြန် သွားဝယ်ကြရအောင်။	ថ្នាំដុសធ្មេញ	ថ្នាំដុសធ្មេញអស់ហើយ ស្អែកទៅទិញទៅ។	ຢາຖູແຂ້ວ	ຢາຖູແຂ້ວໝົດແລ້ວ ມື້ອື່ນໄປຊື້ກັນ.
亚洲	အာရှ	တရုတ်နိုင်ငံက အာရှနိုင်ငံ ဖြစ်သည်။	អាស៊ី	ប្រទេសចិនជាប្រទេសអាស៊ី។	ອາຊີ	ປະເທດຈີນເປັນປະເທດໃນອາຊີ.
严格	တင်းကျပ်သော	ဆရာက ကျွန်တော်တို့အပေါ် တောင်းဆိုချက်တွေ အလွန်တင်းကျပ်သည်။	តឹងរ៉ឹង	គ្រូមានការទាមទារចំពោះយើងយ៉ាងតឹងរ៉ឹង។	ເຂັ້ມງວດ	ຄູມີຂໍ້ກຳນົດຕໍ່ພວກເຮົາເຂັ້ມງວດຫຼາຍ.
严重	ပြင်းထန်သော; ဆိုးရွားသော	သူ့ရောဂါက အလွန်ပြင်းထန်သည်။	ធ្ងន់ធ្ងរ	ជំងឺរបស់គាត់ធ្ងន់ធ្ងរណាស់។	ຮ້າຍແຮງ	ອາການປ່ວຍຂອງລາວຮ້າຍແຮງຫຼາຍ.
盐	ဆား	ဆားထည့်တာ များသွားလို့ ဟင်းတွေ နည်းနည်းငန်သည်။	អំបិល	ដាក់អំបិលច្រើនពេក ម្ហូបប្រៃបន្តិច។	ເກືອ	ໃສ່ເກືອຫຼາຍເກີນໄປ ອາຫານເຄັມໜ່ອຍ.
研究	သုတေသနလုပ်သည်; သုတေသန	သူက ဒီပြဿနာကို သုတေသနလုပ်နေသည်။	ស្រាវជ្រាវ; ការស្រាវជ្រាវ	គាត់កំពុងស្រាវជ្រាវបញ្ហានេះ។	ວິຈັຍ; ຄົ້ນຄວ້າ	ລາວກຳລັງຄົ້ນຄວ້າບັນຫານີ້.
演出	ဖျော်ဖြေသည်; ဖျော်ဖြေပွဲ	ပထမဆုံးဖျော်ဖြေပွဲမှာ သူ အလွန်စိတ်လှုပ်ရှားခဲ့သည်။	ការសម្តែង; សម្តែង	ការសម្តែងលើកដំបូង គាត់ភ័យណាស់។	ການສະແດງ; ສະແດງ	ການສະແດງຄັ້ງທຳອິດ ລາວກັງວົນຫຼາຍ.
演员	သရုပ်ဆောင်	သူက နာမည်ကြီး သရုပ်ဆောင်တစ်ယောက် ဖြစ်သည်။	តារាសម្តែង	គាត់ជាតារាសម្តែងដ៏ល្បីម្នាក់។	ນັກສະແດງ	ລາວເປັນນັກສະແດງຊື່ດັງ.
眼镜	မျက်မှန်	သူက အနက်ရောင်မျက်မှန်တစ်စုံ တပ်ထားသည်။	វ៉ែនតា	គាត់ពាក់វ៉ែនតាពណ៌ខ្មៅមួយគូ។	ແວ່ນຕາ	ລາວໃສ່ແວ່ນຕາສີດຳໜຶ່ງຄູ່.
阳光	နေရောင်ခြည်	နေရောင်ခြည်က ပြတင်းပေါက်ကနေ အခန်းထဲ ဝင်လာသည်။	ពន្លឺថ្ងៃ	ពន្លឺថ្ងៃចូលមកក្នុងបន្ទប់តាមបង្អួច។	ແສງແດດ	ແສງແດດສ່ອງເຂົ້າຫ້ອງຜ່ານປ່ອງຢ້ຽມ.
养成	အကျင့်ဖြစ်လာစေသည်; ဖွံ့ဖြိုးလာစေသည်	ကျွန်တော် ငယ်ငယ်ကတည်းက ဒီအကျင့်ကို ရလာခဲ့သည်။	បង្កើតជាទម្លាប់	ខ្ញុំបានបង្កើតទម្លាប់នេះតាំងពីតូច។	ສ້າງນິໄສ; ປູກຝັງ	ຂ້ອຍສ້າງນິໄສນີ້ມາຕັ້ງແຕ່ນ້ອຍ.
样子	ပုံစံ; အသွင်အပြင်	ဒီအဝတ်အစားရဲ့ ပုံစံက တော်တော်ကောင်းသည်။	រូបរាង; រចនាប័ទ្ម	រចនាប័ទ្មសម្លៀកបំពាក់នេះល្អណាស់។	ຮູບແບບ; ລັກສະນະ	ຮູບແບບຂອງເສື້ອຜ້າຊຸດນີ້ດີຫຼາຍ.
邀请	ဖိတ်ကြားသည်; ဖိတ်ကြားချက်	သူက အားလုံးရဲ့ ဖိတ်ကြားချက်ကို ငြင်းပယ်ခဲ့သည်။	អញ្ជើញ; ការអញ្ជើញ	គាត់បានបដិសេធការអញ្ជើញរបស់អ្នកទាំងអស់គ្នា។	ເຊີນ; ຄຳເຊີນ	ລາວປະຕິເສດຄຳເຊີນຂອງທຸກຄົນ.
要是	အကယ်၍; ဆိုရင်	မင်း အရင်ရောက်လာရင် ကျွန်တော့်ကို ခဏစောင့်ပါ။	ប្រសិនបើ	ប្រសិនបើអ្នកមកមុន សូមរង់ចាំខ្ញុំបន្តិច។	ຖ້າວ່າ	ຖ້າເຈົ້າມາກ່ອນ ກໍລໍຖ້າຂ້ອຍໜ່ອຍ.
钥匙	သော့	ကျွန်တော် ဒီနေ့ သော့ယူလာဖို့ မေ့သွားသည်။	កូនសោ	ថ្ងៃនេះខ្ញុំភ្លេចយកកូនសោមក។	ກະແຈ	ມື້ນີ້ຂ້ອຍລືມເອົາກະແຈມາ.
也许	ဖြစ်ကောင်းဖြစ်နိုင်; မကြာခဏဖြစ်နိုင်	သူ မလာတော့ဘူး ဖြစ်နိုင်သည်။	ប្រហែលជា	គាត់ប្រហែលជាមិនមកទេ។	ອາດຈະ; ບາງທີ	ລາວອາດຈະບໍ່ມາ.
叶子	အရွက်	နွေဦးရောက်လာပြီ၊ သစ်ပင်ငယ်တွေမှာ အရွက်အသစ်တွေ ထွက်လာသည်။	ស្លឹកឈើ	រដូវផ្ការីកមកដល់ហើយ ដើមឈើតូចៗមានស្លឹកថ្មីដុះចេញមក។	ໃບໄມ້	ລະດູບານໃໝ່ມາແລ້ວ ຕົ້ນໄມ້ນ້ອຍມີໃບໃໝ່ງອກອອກມາ.
页	စာမျက်နှာ	ကျေးဇူးပြု၍ စာမျက်နှာ ဆယ်ကို လှန်ပါ။	ទំព័រ	សូមបើកទៅទំព័រទីដប់។	ໜ້າ	ກະລຸນາເປີດໄປໜ້າທີສິບ.
一切	အရာအားလုံး	အိမ်ထဲက အရာအားလုံးကို အမေက တာဝန်ယူသည်။	អ្វីៗទាំងអស់	រឿងរ៉ាវទាំងអស់នៅផ្ទះ សុទ្ធតែម្ដាយទទួលខុសត្រូវ។	ທຸກຢ່າງ	ທຸກຢ່າງໃນບ້ານ ແມ່ເປັນຜູ້ຮັບຜິດຊອບ.
以	အဖြစ်; ကိုအသုံးပြု၍	ကျေးဇူးပြု၍ ဒီဝါကျကို ဥပမာအဖြစ် ယူပါ။	យកជា; ដោយប្រើជា	សូមយកប្រយោគនេះជាឧទាហរណ៍។	ເອົາເປັນ; ໃຊ້ເປັນ	ກະລຸນາເອົາປະໂຫຍກນີ້ເປັນຕົວຢ່າງ.
以为	ထင်သည်; ယူဆသည်	ကျွန်တော် မင်း ထွက်သွားပြီးပြီလို့ ထင်ခဲ့သည်။	គិតថា; ស្មានថា	ខ្ញុំគិតថាអ្នកបានចេញទៅហើយ។	ຄິດວ່າ; ເຂົ້າໃຈວ່າ	ຂ້ອຍຄິດວ່າເຈົ້າໄປແລ້ວ.
意见	ထင်မြင်ချက်; အကြံပြုချက်	မင်းရဲ့ ထင်မြင်ချက်တွေ အားလုံးကို ကျွန်တော် လက်ခံသည်။	មតិយោបល់; យោបល់	មតិយោបល់របស់អ្នក ខ្ញុំទទួលយកទាំងអស់។	ຄວາມເຫັນ; ຂໍ້ສະເໜີ	ຄວາມເຫັນຂອງເຈົ້າຂ້ອຍຮັບທັງໝົດ.
艺术	အနုပညာ	ကျွန်တော် အနုပညာကို အလွန်စိတ်ဝင်စားသည်။	សិល្បៈ	ខ្ញុំចាប់អារម្មណ៍ចំពោះសិល្បៈណាស់។	ສິລະປະ	ຂ້ອຍສົນໃຈສິລະປະຫຼາຍ.
因此	ထို့ကြောင့်; အဲဒါကြောင့်	သူ နေမကောင်းဖြစ်လို့ ထို့ကြောင့် အတန်းမတက်လာဘူး။	ដូច្នេះ; ហេតុនេះ	គាត់ឈឺ ដូច្នេះមិនបានមករៀនទេ។	ດັ່ງນັ້ນ; ເພາະສະນັ້ນ	ລາວປ່ວຍ ດັ່ງນັ້ນບໍ່ໄດ້ມາຮຽນ.
引起	ဖြစ်စေသည်; ဖြစ်ပေါ်စေသည်	ဒီကိစ္စက လူအားလုံးရဲ့ မကျေနပ်မှုကို ဖြစ်ပေါ်စေခဲ့သည်။	បង្កឱ្យ; នាំឱ្យ	រឿងនេះបានបង្កឱ្យគ្រប់គ្នាមិនពេញចិត្ត។	ກໍ່ໃຫ້ເກີດ; ນຳໄປສູ່	ເລື່ອງນີ້ກໍ່ໃຫ້ທຸກຄົນບໍ່ພໍໃຈ.
印象	အထင်အမြင်	သူက ကျွန်တော့်အပေါ် အလွန်ကောင်းတဲ့ အထင်အမြင် ချန်ထားခဲ့သည်။	ចំណាប់អារម្មណ៍	គាត់បានទុកចំណាប់អារម្មណ៍ល្អណាស់ដល់ខ្ញុំ។	ຄວາມປະທັບໃຈ	ລາວປະທັບໃຈຂ້ອຍດີຫຼາຍ.
赢	နိုင်သည်; အနိုင်ရသည်	မနေ့က ဘောလုံးပြိုင်ပွဲမှာ ဘယ်သူ နိုင်သွားလဲ။	ឈ្នះ	ការប្រកួតបាល់ទាត់ម្សិលមិញ អ្នកណាឈ្នះ?	ຊະນະ	ການແຂ່ງບານເຕະມື້ວານ ໃຜຊະນະ?
应聘	အလုပ်လျှောက်သည်	သူမက ဒီအလုပ်ကို လျှောက်ချင်သည်။	ដាក់ពាក្យធ្វើការ	នាងចង់ដាក់ពាក្យធ្វើការនេះ។	ສະໝັກວຽກ	ນາງຢາກສະໝັກວຽກນີ້.
勇敢	ရဲရင့်သော	အစ်ကိုက အလွန်ရဲရင့်တဲ့ လူတစ်ယောက် ဖြစ်သည်။	ក្លាហាន	បងប្រុសជាមនុស្សក្លាហានណាស់។	ກ້າຫານ	ອ້າຍເປັນຄົນກ້າຫານຫຼາຍ.
永远	ထာဝရ; အမြဲတမ်း	မင်းက ကျွန်တော့်ကို ကူညီခဲ့တာကို ကျွန်တော် ဘယ်တော့မှ မမေ့ဘူး။	ជារៀងរហូត	ខ្ញុំនឹងមិនភ្លេចជំនួយរបស់អ្នកចំពោះខ្ញុំជារៀងរហូត។	ຕະຫຼອດໄປ	ຂ້ອຍຈະບໍ່ລືມຄວາມຊ່ວຍເຫຼືອຂອງເຈົ້າຕໍ່ຂ້ອຍຕະຫຼອດໄປ.
优点	အားသာချက်; ကောင်းတဲ့အချက်	လူတစ်ယောက်ဟာ ကိုယ့်အားနည်းချက်ကို သူများရဲ့ အားသာချက်နဲ့ မနှိုင်းယှဉ်သင့်ပါ။	ចំណុចល្អ; អត្ថប្រយោជន៍	មនុស្សមិនគួរយកចំណុចខ្សោយរបស់ខ្លួនទៅប្រៀបធៀបនឹងចំណុចល្អរបស់អ្នកដទៃទេ។	ຈຸດດີ; ຂໍ້ດີ	ຄົນບໍ່ຄວນເອົາຈຸດອ່ອນຂອງຕົນໄປປຽບທຽບກັບຈຸດດີຂອງຄົນອື່ນ.
优秀	ထူးချွန်သော; အလွန်ကောင်းသော	သူက အလွန်ထူးချွန်တဲ့ ဆရာဝန်တစ်ယောက် ဖြစ်သည်။	ឆ្នើម; ល្អប្រសើរ	គាត់ជាវេជ្ជបណ្ឌិតឆ្នើមម្នាក់។	ດີເດັ່ນ; ຍອດຢ້ຽມ	ລາວເປັນແພດທີ່ດີເດັ່ນຫຼາຍ.
幽默	ဟာသဉာဏ်ရှိသော; ဟာသ	ပါမောက္ခ လီက စကားပြောရာမှာ အလွန်ဟာသဉာဏ်ရှိသည်။	កំប្លែង; មានអារម្មណ៍កំប្លែង	សាស្ត្រាចារ្យលីនិយាយមានអារម្មណ៍កំប្លែងណាស់។	ຕະຫຼົກ; ມີອາລົມຂັນ	ອາຈານລີເວົ້າມີອາລົມຂັນຫຼາຍ.
尤其	အထူးသဖြင့်	သူက ပန်းချီဆွဲတာကို ကြိုက်တယ်၊ အထူးသဖြင့် တရုတ်ပန်းချီဆွဲတာကို ကြိုက်သည်။	ជាពិសេស	គាត់ចូលចិត្តគូររូប ជាពិសេសគូរគំនូរចិន។	ໂດຍສະເພາະ	ລາວມັກແຕ້ມຮູບ ໂດຍສະເພາະແຕ້ມຮູບຈີນ.
由	က; မှ	ဒီလှုပ်ရှားမှုကို ကျွန်တော်တို့က စီစဉ်ကျင်းပမည်။	ដោយ	ព្រឹត្តិការណ៍នេះត្រូវបានរៀបចំដោយពួកយើង។	ໂດຍ	ກິດຈະກຳນີ້ຈັດໂດຍພວກເຮົາ.
由于	ကြောင့်; အတွက်ကြောင့်	မိုးရွာတဲ့အတွက် ပြိုင်ပွဲကို ရွှေ့ဆိုင်းလိုက်သည်။	ដោយសារ	ដោយសារភ្លៀង ការប្រកួតត្រូវបានពន្យារពេល។	ເນື່ອງຈາກ	ເນື່ອງຈາກຝົນຕົກ ການແຂ່ງຂັນຖືກເລື່ອນ.
邮局	စာတိုက်	စာတိုက်က မနက်ကိုးနာရီမှာ ဖွင့်သည်။	ការិយាល័យប្រៃសណីយ៍	ការិយាល័យប្រៃសណីយ៍បើកនៅម៉ោងប្រាំបួនព្រឹក។	ໄປສະນີ	ໄປສະນີເປີດເວລາເກົ້າໂມງເຊົ້າ.
友好	ဖော်ရွေသော	ကျွန်တော့်အိမ်ရှင်က အလွန်ဖော်ရွေပြီး ကျွန်တော့်ကို မကြာခဏ ကူညီသည်။	រួសរាយ; មិត្តភាព	ម្ចាស់ផ្ទះរបស់ខ្ញុំរួសរាយណាស់ ហើយជួយខ្ញុំជាញឹកញាប់។	ເປັນມິດ; ເປັນກັນເອງ	ເຈົ້າຂອງບ້ານຂອງຂ້ອຍເປັນມິດຫຼາຍ ແລະຊ່ວຍຂ້ອຍເລື້ອຍໆ.
友谊	မိတ်ဆွေဖြစ်မှု; ခင်မင်မှု	ကျွန်တော်တို့ကြားမှာ အလွန်လေးနက်တဲ့ မိတ်ဆွေဖြစ်မှု ရှိသည်။	មិត្តភាព	រវាងយើងមានមិត្តភាពជ្រាលជ្រៅណាស់។	ມິດຕະພາບ	ລະຫວ່າງພວກເຮົາມີມິດຕະພາບເລິກຊຶ້ງຫຼາຍ.
有趣	စိတ်ဝင်စားစရာကောင်းသော	ဒါဟာ တကယ် စိတ်ဝင်စားစရာကောင်းတဲ့ အိပ်မက်တစ်ခုပဲ။	គួរឱ្យចាប់អារម្មណ៍	នេះពិតជាសុបិនគួរឱ្យចាប់អារម្មណ៍មួយ។	ໜ້າສົນໃຈ	ນີ້ເປັນຄວາມຝັນທີ່ໜ້າສົນໃຈແທ້ໆ.
于是	ထို့ကြောင့်; အဲဒါနဲ့	ကျွန်တော် သူ့ကို မေးချင်တာရှိလို့ အဲဒါနဲ့ ဖုန်းခေါ်ခဲ့သည်။	ដូច្នេះ; ហេតុនេះ	ខ្ញុំមានរឿងចង់សួរគាត់ ដូច្នេះបានទូរស័ព្ទទៅគាត់។	ດັ່ງນັ້ນ; ແລ້ວກໍ	ຂ້ອຍມີເລື່ອງຢາກຖາມລາວ ດັ່ງນັ້ນຈຶ່ງໂທຫາລາວ.
愉快	ပျော်ရွှင်သော; ကြည်နူးသော	မင်းရဲ့ စနေ၊ တနင်္ဂနွေ ပျော်ရွှင်ပါစေ။	រីករាយ	សូមឱ្យចុងសប្តាហ៍របស់អ្នករីករាយ!	ມີຄວາມສຸກ; ສະບາຍໃຈ	ຂໍໃຫ້ເຈົ້າມີຄວາມສຸກໃນທ້າຍອາທິດ!
与	နှင့်; နဲ့	သူက ကိုယ့်ကိုယ်ကို ယုံကြည်မှုရှိပြီး လူများနှင့် ယှဉ်ပြိုင်ရတာ ကြိုက်သည်။	ជាមួយ; និង	គាត់មានទំនុកចិត្ត ហើយចូលចិត្តប្រកួតប្រជែងជាមួយអ្នកដទៃ។	ກັບ; ແລະ	ລາວໝັ້ນໃຈໃນຕົນເອງ ແລະມັກແຂ່ງຂັນກັບຄົນອື່ນ.
羽毛球	ဘက်ဒမင်တန်	မင်း ဘက်ဒမင်တန် မကြာခဏ ကစားလား။	កីឡាវាយសី	អ្នកលេងកីឡាវាយសីជាញឹកញាប់ទេ?	ແບດມິນຕັນ	ເຈົ້າຫຼິ້ນແບດມິນຕັນເລື້ອຍໆບໍ?
语法	သဒ္ဒါ	ကျွန်တော် အခြေခံသဒ္ဒါဗဟုသုတအချို့ သင်ယူခဲ့သည်။	វេយ្យាករណ៍	ខ្ញុំបានរៀនចំណេះដឹងវេយ្យាករណ៍មូលដ្ឋានខ្លះៗ។	ໄວຍາກອນ	ຂ້ອຍໄດ້ຮຽນຄວາມຮູ້ໄວຍາກອນພື້ນຖານບາງຢ່າງ.
语言	ဘာသာစကား	ဘာသာစကားတစ်ခု သင်ယူရာမှာ ၎င်းရဲ့ သဒ္ဒါကို နားလည်မှုအချို့ လိုအပ်သည်။	ភាសា	ការរៀនភាសាមួយត្រូវការការយល់ដឹងខ្លះអំពីវេយ្យាករណ៍របស់វា។	ພາສາ	ການຮຽນພາສາໜຶ່ງຕ້ອງມີຄວາມເຂົ້າໃຈໄວຍາກອນຂອງມັນບາງສ່ວນ.
预习	ကြိုတင်လေ့လာသည်	ကျေးဇူးပြု၍ စာသားကို ကောင်းကောင်း ကြိုတင်လေ့လာထားကြပါ။	ត្រៀមមេរៀនជាមុន	សូមអ្នកទាំងអស់គ្នាត្រៀមអត្ថបទមេរៀនឱ្យបានល្អជាមុន។	ກຽມບົດຮຽນລ່ວງໜ້າ	ກະລຸນາກຽມບົດຮຽນນີ້ລ່ວງໜ້າໃຫ້ດີ.
原来	မူလက; အရင်အတိုင်း	ကျွန်တော် အရင်နေရာမှာပဲ နေသေးသည်။	ដើម; ដូចមុន	ខ្ញុំនៅតែរស់នៅកន្លែងដើមដដែល។	ເດີມ; ຄືເກົ່າ	ຂ້ອຍຍັງອາໄສຢູ່ບ່ອນເດີມ.
原谅	ခွင့်လွှတ်သည်	ကျွန်တော် အခုနက ပြောခဲ့တဲ့စကားကို ခွင့်လွှတ်ပါ။	អភ័យទោស; លើកលែងទោស	សូមអភ័យទោសចំពោះពាក្យដែលខ្ញុំទើបនិយាយ។	ໃຫ້ອະໄພ	ກະລຸນາໃຫ້ອະໄພຄຳເວົ້າທີ່ຂ້ອຍຫາກໍເວົ້າ.
原因	အကြောင်းရင်း	သူက အကြောင်းရင်းကို အလွန်ရှင်းလင်းစွာ ရှင်းပြခဲ့သည်။	មូលហេតុ	គាត់បានពន្យល់មូលហេតុយ៉ាងច្បាស់។	ເຫດຜົນ; ສາເຫດ	ລາວອະທິບາຍເຫດຜົນໄດ້ຊັດເຈນຫຼາຍ.
约会	ချိန်းဆိုမှု; ချစ်သူချိန်းတွေ့ခြင်း	သူမက ရှောင်လီနဲ့ ချိန်းတွေ့စတင်ခဲ့သည်။	ការណាត់ជួប; ណាត់ស្នេហ៍	នាងបានចាប់ផ្តើមណាត់ជួបជាមួយសៀវលី។	ນັດພົບ; ນັດອອກເດດ	ນາງເລີ່ມນັດພົບກັບສຽວຫຼີແລ້ວ.
阅读	ဖတ်ရှုသည်; စာဖတ်ခြင်း	ကျွန်တော် ဒီဝတ္ထုကို ဖတ်ရှုနေသည်။	អាន; ការអាន	ខ្ញុំកំពុងអានប្រលោមលោកនេះ។	ອ່ານ; ການອ່ານ	ຂ້ອຍກຳລັງອ່ານນະວະນິຍາຍເຫຼັ້ມນີ້.
云	တိမ်	ကောင်းကင်ပေါ်က တိမ်တွေ တဖြည်းဖြည်း ပိုများလာသည်။	ពពក	ពពកលើមេឃកាន់តែច្រើនឡើង។	ເມກ	ເມກເທິງຟ້າຍິ່ງຫຼາຍຂຶ້ນ.
允许	ခွင့်ပြုသည်	ကျေးဇူးပြု၍ ကျွန်တော့်ကို ကိုယ့်ကိုယ်ကို မိတ်ဆက်ခွင့်ပြုပါ။	អនុញ្ញាត	សូមអនុញ្ញាតឱ្យខ្ញុំណែនាំខ្លួនបន្តិច។	ອະນຸຍາດ	ກະລຸນາອະນຸຍາດໃຫ້ຂ້ອຍແນະນຳຕົນເອງ.
杂志	မဂ္ဂဇင်း	ဒီမဂ္ဂဇင်းထဲက ဆောင်းပါးတွေ အားလုံး ကောင်းကောင်းရေးထားသည်။	ទស្សនាវដ្តី	អត្ថបទនៅក្នុងទស្សនាវដ្តីនេះសុទ្ធតែសរសេរបានល្អ។	ວາລະສານ	ບົດຄວາມໃນວາລະສານນີ້ຂຽນໄດ້ດີທັງໝົດ.
咱们	ငါတို့; ကျွန်တော်တို့	ဒီလ ကျွန်တော်တို့ရဲ့ နေထိုင်စားသောက်စရိတ် ဘယ်လောက်လဲ။	ពួកយើង	ខែនេះថ្លៃចំណាយជីវិតរបស់ពួកយើងប៉ុន្មាន?	ພວກເຮົາ	ຄ່າໃຊ້ຈ່າຍຊີວິດຂອງພວກເຮົາເດືອນນີ້ເທົ່າໃດ?
暂时	ယာယီ; ခဏတာ	သူက ကားကို လမ်းဘေးမှာ ယာယီ ရပ်ထားသည်။	បណ្តោះអាសន្ន	គាត់ចតឡានបណ្តោះអាសន្ននៅចិញ្ចើមផ្លូវ។	ຊົ່ວຄາວ	ລາວຈອດລົດຊົ່ວຄາວຢູ່ຂ້າງທາງ.
脏	ညစ်ပတ်သော	ကျွန်တော် မတော်တဆ အဝတ်အစားကို ညစ်ပတ်အောင် လုပ်မိသည်။	កខ្វក់	ខ្ញុំបានធ្វើឱ្យសម្លៀកបំពាក់កខ្វក់ដោយមិនប្រុងប្រយ័ត្ន។	ເປື້ອນ; ສົກກະປົກ	ຂ້ອຍເຮັດໃຫ້ເສື້ອຜ້າເປື້ອນໂດຍບໍ່ຕັ້ງໃຈ.
责任	တာဝန်; တာဝန်ယူမှု	ဒီကိစ္စမှာ ကျွန်တော်တို့ အားလုံးမှာ တာဝန်ရှိသည်။	ទំនួលខុសត្រូវ; ភារកិច្ច	រឿងនេះ ពួកយើងទាំងអស់គ្នាមានទំនួលខុសត្រូវ។	ຄວາມຮັບຜິດຊອບ; ໜ້າທີ່	ເລື່ອງນີ້ພວກເຮົາທຸກຄົນມີຄວາມຮັບຜິດຊອບ.
增加	တိုးလာသည်; တိုးမြှင့်သည်	ဒီနှစ် ကျောင်းသားအရေအတွက် တိုးလာသည်။	កើនឡើង; បន្ថែម	ឆ្នាំនេះចំនួនសិស្សបានកើនឡើង។	ເພີ່ມຂຶ້ນ; ເພີ່ມ	ປີນີ້ຈຳນວນນັກຮຽນເພີ່ມຂຶ້ນ.
占线	ဖုန်းလိုင်းမအားသော	ကျွန်တော် ဆက်တိုက် အကြိမ်များစွာ ဖုန်းခေါ်ခဲ့ပေမဲ့ သူ့ဖုန်းလိုင်းက မအားဘူး။	ខ្សែរវល់	ខ្ញុំបានទូរស័ព្ទជាប់ៗគ្នាច្រើនដង ប៉ុន្តែទូរស័ព្ទរបស់គាត់រវល់រហូត។	ສາຍບໍ່ວ່າງ	ຂ້ອຍໂທຫາຫຼາຍເທື່ອຕິດກັນ ແຕ່ສາຍຂອງລາວບໍ່ວ່າງຕະຫຼອດ.
招聘	ဝန်ထမ်းခေါ်ယူသည်; ခေါ်ယူရေး	ကုမ္ပဏီက ဝန်ထမ်းအသစ်တွေ ခေါ်ယူနေသည်။	ជ្រើសរើសបុគ្គលិក	ក្រុមហ៊ុនកំពុងជ្រើសរើសបុគ្គលិកថ្មី។	ຮັບສະໝັກ; ການຮັບສະໝັກ	ບໍລິສັດກຳລັງຮັບສະໝັກພະນັກງານໃໝ່.
照	အတိုင်း; လိုက်နာ၍	ဒီအစီအစဉ်အတိုင်း လုပ်ပါ။	តាម; អនុវត្តតាម	ធ្វើតាមផែនការនេះទៅ។	ຕາມ; ປະຕິບັດຕາມ	ເຮັດຕາມແຜນນີ້ເຖີດ.
真正	စစ်မှန်သော; တကယ့်	စစ်မှန်တဲ့ မိတ်ဆွေက မင်း အခက်အခဲကြုံတဲ့အချိန်မှာ ကူညီလိမ့်မယ်။	ពិតប្រាកដ	មិត្តពិតនឹងជួយអ្នកពេលអ្នកជួបការលំបាក។	ແທ້ຈິງ	ໝູ່ແທ້ຈະຊ່ວຍເຈົ້າເມື່ອເຈົ້າພົບຄວາມລຳບາກ.
整理	စီစဉ်သပ်ရပ်စေသည်	ကျေးဇူးပြု၍ စားပွဲပေါ်က စာအုပ်တွေကို စီစဉ်သပ်ရပ်ပေးပါ။	រៀបចំឱ្យមានរបៀប	សូមរៀបចំសៀវភៅលើតុបន្តិច។	ຈັດໃຫ້ເປັນລະບຽບ	ກະລຸນາຈັດປຶ້ມເທິງໂຕະໃຫ້ເປັນລະບຽບ.
正常	ပုံမှန်သော	ပြင်ပြီးနောက် ကျွန်တော့်ကွန်ပျူတာက ပုံမှန်အတိုင်း ပြန်အလုပ်လုပ်နိုင်ပြီ။	ធម្មតា	បន្ទាប់ពីជួសជុល កុំព្យូទ័ររបស់ខ្ញុំអាចដំណើរការធម្មតាវិញបាន។	ປົກກະຕິ	ຫຼັງຈາກສ້ອມແປງແລ້ວ ຄອມພິວເຕີຂອງຂ້ອຍເຮັດວຽກໄດ້ປົກກະຕິອີກ.
正好	တိတိကျကျ; အတိအကျ	မင်းပြောတာက ကျွန်တော်နားလည်ထားတာနဲ့ တိတိကျကျ ဆန့်ကျင်ဘက် ဖြစ်သည်။	ចំពេល; ពិតជាត្រឹមត្រូវ	អ្វីដែលអ្នកនិយាយផ្ទុយនឹងអ្វីដែលខ្ញុំយល់ពិតប្រាកដ។	ພໍດີ; ກົງພໍດີ	ສິ່ງທີ່ເຈົ້າເວົ້າກົງກັນຂ້າມກັບທີ່ຂ້ອຍເຂົ້າໃຈພໍດີ.
